noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_mdcf_mean,sg_mdcf_std,cg_far_mean,n_folds
cafeteria,-10.0,0.0786934345960617,0.02737171917861227,0.44049999713897703,0.026765183192948447,0.02199999988079071,5
cafeteria,-5.0,0.058693434670567514,0.02396555865380906,0.4182000160217285,0.034312181878489334,0.015799999795854093,5
cafeteria,0.0,0.033567676693201064,0.011250032045536394,0.34360000491142273,0.047905383268431904,0.006999999983236194,5
cafeteria,5.0,0.02462323270738125,0.004031293851130803,0.2492000013589859,0.06268632034002937,0.0027999999700114133,5
cafeteria,10.0,0.018593434523791075,0.0026352646369502066,0.2356000006198883,0.04586038876844392,0.001500000071246177,5
clean,,0.01397020211443305,0.0028293556371353137,0.13210000842809677,0.03984878162473656,0.0011000000289641322,5
metro,-10.0,0.06939697042107582,0.02492221149596821,0.4232000231742859,0.02858890232601296,0.01959999995306134,5
metro,-5.0,0.04934646412730217,0.017272427581067312,0.3806000053882599,0.04580719854768255,0.0107999999076128,5
metro,0.0,0.031859090924263,0.009073773537290969,0.31980001330375674,0.03931379792310367,0.0057999998796731235,5
metro,5.0,0.021256565302610397,0.003264082365234437,0.24400000274181366,0.049558050499193575,0.002600000042002648,5
metro,10.0,0.01859343461692333,0.0021614425563891847,0.2166000097990036,0.03808116760683315,0.0015000000246800482,5
office,-10.0,0.050653029978275296,0.01843918900734923,0.3968000113964081,0.0516110426481764,0.012100000120699405,5
office,-5.0,0.03693434353917837,0.011966011282076715,0.34660000205039976,0.059444719390177175,0.0069999997969716786,5
office,0.0,0.026432323828339578,0.005386554253706295,0.3027999997138977,0.06322737323972334,0.003600000077858567,5
office,5.0,0.02155808061361313,0.002613153286853068,0.2689999997615814,0.04865310977744791,0.0024000000092200937,5
office,10.0,0.018090908881276846,0.001846395576719122,0.21220000088214874,0.047905638180924345,0.0015000000246800482,5
park,-10.0,0.06522626169025898,0.023881111444332984,0.41970000267028806,0.025036459242406182,0.018200000375509263,5
park,-5.0,0.04793939366936684,0.017693788365883967,0.3867000102996826,0.0491039877201154,0.011600000131875277,5
park,0.0,0.03361767679452896,0.009683232853244664,0.3171999990940094,0.0720248193037488,0.005699999956414103,5
park,5.0,0.025427272915840148,0.004506054156211151,0.2764999955892563,0.07289890078147118,0.003100000019185245,5
park,10.0,0.019497979991137983,0.0024975050199270163,0.23980000615119934,0.053278283874421774,0.0015000000246800482,5
traffic,-10.0,0.05768838413059711,0.02157563649114656,0.4107999920845032,0.036434190589043514,0.014799999818205834,5
traffic,-5.0,0.03834141455590725,0.012941366708567846,0.3349000155925751,0.07651912035687022,0.007499999878928065,5
traffic,0.0,0.027085353806614875,0.005079114592519408,0.31090001463890077,0.0374122295772634,0.003600000077858567,5
traffic,5.0,0.02125656567513943,0.0035688471183959684,0.229899999499321,0.04633896709398563,0.0022000000695697962,5
traffic,10.0,0.01768888896331191,0.0026685934740123805,0.19640000015497208,0.06110892470676198,0.0014000000664964318,5
