noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_mdcf_mean,sg_mdcf_std,cg_far_mean,n_folds
cafeteria,-10.0,0.04085404071956873,0.010774451142889373,0.3658000111579895,0.10018271974242096,0.013300000131130219,5
cafeteria,-5.0,0.014774242602288722,0.005217557685560464,0.1251000016927719,0.029686697404904518,0.002199999988079071,5
cafeteria,0.0,0.002412121242377907,0.0011997626434509625,0.015999999828636646,0.006234981690342345,0.0004000000189989805,5
cafeteria,5.0,0.00150757574592717,0.0007106780090312863,0.004899999988265335,0.0042337926291214365,0.00010000000474974513,5
cafeteria,10.0,0.0006030303135048598,0.0005504888226840095,0.0011999999987892807,0.0009746794135909106,0.0,5
clean,,0.00020101011032238602,0.00027524442927543216,0.00020000000949949026,0.0002738612917602958,0.0,5
metro,-10.0,0.029497474990785123,0.007749068009394283,0.22930000722408295,0.08315167302803646,0.009499999973922969,5
metro,-5.0,0.013266666792333126,0.004995010171028506,0.08680000007152558,0.04689296319925704,0.002199999988079071,5
metro,0.0,0.0034171717008575795,0.0007453653595447174,0.025100000016391278,0.010169808120670133,0.00010000000474974513,5
metro,5.0,0.001306565699633211,0.0007621173090277088,0.004499999980907887,0.0034460120772155634,0.00010000000474974513,5
metro,10.0,0.0009045454615261405,0.000550488810728391,0.0027999999234452843,0.003563705760055288,0.0,5
office,-10.0,0.008241414185613393,0.003918408259300834,0.07370000034570694,0.05996311579679692,0.0025000000256113707,5
office,-5.0,0.0028141414048150184,0.0013577484322516793,0.013799999933689832,0.01203432546452394,0.0007000000216066838,5
office,0.0,0.0015075757983140647,0.0009401386662383728,0.007300000078976155,0.004724933985991383,0.00010000000474974513,5
office,5.0,0.0007035353861283511,0.0004494722708455873,0.002100000064820051,0.002792848093471073,0.0,5
office,10.0,0.00040202022064477204,0.00022473613542279365,0.0009000000194646418,0.0011937336441315745,0.00010000000474974513,5
park,-10.0,0.019950000382959843,0.005073549290560138,0.1687000036239624,0.06146197602354998,0.00480000008828938,5
park,-5.0,0.00954797980375588,0.002864834694118578,0.06389999985694886,0.04665082936331961,0.001500000013038516,5
park,0.0,0.003216161672025919,0.001156899952301056,0.02680000029504299,0.022761261755571877,0.0007000000099651515,5
park,5.0,0.0016080808651167899,0.0013944510501022818,0.00460000018356368,0.004642198230718056,0.0003000000142492354,5
park,10.0,0.0005025252758059651,0.0,0.0020000000367872417,0.0010606601741396063,0.0,5
traffic,-10.0,0.012965151481330395,0.004903163369924225,0.09930000156164169,0.033727953299652405,0.0020000000367872417,5
traffic,-5.0,0.005025252560153603,0.0011785260939609363,0.038300002459436655,0.03070138751098118,0.0003000000026077032,5
traffic,0.0,0.002010101015912369,0.0012309304640200408,0.012799999862909316,0.005155094423381775,0.00010000000474974513,5
traffic,5.0,0.0011055555718485267,0.00042044276884698606,0.002100000053178519,0.0010839741860160029,0.0,5
traffic,10.0,0.0008040404238272459,0.0005729669431630931,0.002000000060070306,0.0028504386496374908,0.0,5
