noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_mdcf_mean,sg_mdcf_std,cg_far_mean,n_folds
cafeteria,-10.0,0.01517626279965043,0.0035068917875385893,0.14750000238418579,0.07107917974118858,0.0020000000251457093,5
cafeteria,-5.0,0.007537878770381212,0.002908575147679169,0.04270000010728836,0.02317218150143862,0.0005000000237487257,5
cafeteria,0.0,0.0036181818577460945,0.002173094879420989,0.02019999991171062,0.018318706062436307,0.0003000000026077032,5
cafeteria,5.0,0.003216161660384387,0.0022076821685346674,0.011600000015459955,0.009857738000179087,0.00020000000949949026,5
cafeteria,10.0,0.003216161602176726,0.0022360961950568087,0.009000000078231096,0.008108637399918461,0.0003000000142492354,5
clean,,0.002914646512363106,0.002084117066273364,0.008899999782443047,0.007916754127354472,0.00010000000474974513,5
metro,-10.0,0.012462626304477453,0.0033597863420215144,0.10730000510811806,0.041971126131629406,0.0011999999755062164,5
metro,-5.0,0.006432323204353452,0.002472097289683349,0.04070000052452087,0.02486614227456233,0.0005000000121071935,5
metro,0.0,0.003919696947559714,0.00211419245649326,0.02589999893680215,0.026658486959904377,0.00020000000949949026,5
metro,5.0,0.003618181869387627,0.0018936602824538233,0.013700000336393714,0.01379130204455994,0.00020000000949949026,5
metro,10.0,0.003015151526778936,0.0024360815042737878,0.009899999783374368,0.009819623113377961,0.0003000000142492354,5
office,-10.0,0.0052262627286836505,0.0026733211018298134,0.0294000000692904,0.015465284046233251,0.0004000000189989805,5
office,-5.0,0.0044222222175449135,0.0025966506099880577,0.019100000197067857,0.01881621644219785,0.0003000000142492354,5
office,0.0,0.00311565661104396,0.0022304423837370742,0.017500000540167093,0.018934096836031495,0.00020000000949949026,5
office,5.0,0.0029146464657969773,0.0021730949164372034,0.009999999590218068,0.010392304005974993,0.00020000000949949026,5
office,10.0,0.0029146465472877025,0.002367742008502285,0.010200000274926424,0.010969275608406775,0.0003000000026077032,5
park,-10.0,0.009045454626902937,0.003517676876591785,0.07859999947249889,0.043392682796401336,0.0013000000501051546,5
park,-5.0,0.006231313128955663,0.0027889018663156415,0.03739999970421195,0.023857388182611225,0.00040000000735744833,5
park,0.0,0.003919696982484311,0.002258570055100698,0.0171000003349036,0.01588395477331614,0.00020000000949949026,5
park,5.0,0.0031156565644778313,0.0023409263599608932,0.013400000426918269,0.014497414197013487,0.0003000000142492354,5
park,10.0,0.0028141414397396146,0.002028858153183445,0.01110000025946647,0.013282507611857912,0.00020000000949949026,5
traffic,-10.0,0.007638383796438575,0.003302932896251996,0.06200000029057264,0.033834154894736714,0.0006000000052154064,5
traffic,-5.0,0.004422222275752574,0.0022863518592767,0.0286000011023134,0.025967288652854883,0.0003000000026077032,5
traffic,0.0,0.003517676785122603,0.0021614428033665486,0.014499999536201357,0.013067133923672572,0.00020000000949949026,5
traffic,5.0,0.0030151515384204686,0.002041267216083389,0.00920000032056123,0.007894618623714588,0.00020000000949949026,5
traffic,10.0,0.0028141414397396146,0.0021497276104518737,0.010600000154227018,0.010876580304981138,0.00020000000949949026,5
