noise_type,snr_db,snr_numeric,eff_audio_share_mean,eff_audio_share_std,eff_egg_share_mean,eff_egg_share_std,g_audio_mean,g_audio_std,g_egg_mean,g_egg_std,norm_audio_mean,norm_audio_std,norm_egg_mean,norm_egg_std,n_folds
cafeteria,-10.0,-10.0,0.4360831916332245,0.009485038544576765,0.5639168083667755,0.009485038544576732,0.11302512139081951,0.0038788623232392685,0.6033583521842957,0.0180474956611962,46.9155990600586,0.0674196990502786,20.03261604309082,0.8039880915641687,5
cafeteria,-5.0,-5.0,0.5477060675621033,0.010766883304440047,0.45229393243789673,0.010766883304440063,0.15685974359512328,0.0074356041565593915,0.5904398441314698,0.020033905842495557,53.143517303466794,0.07026070598013304,20.03261604309082,0.8039880915641687,5
cafeteria,0.0,0.0,0.6158531665802002,0.009113459097661657,0.3841468334197998,0.009113459097661673,0.19361724257469173,0.009110898933960875,0.5811161756515503,0.020169250850487232,57.74209060668945,0.09435830326096455,20.03261604309082,0.8039880915641687,5
cafeteria,5.0,5.0,0.6279299259185791,0.010574548968943298,0.3720700740814209,0.010574548968943285,0.2114076435565948,0.011212024089750779,0.5761135578155517,0.020262074090900757,57.44346694946289,0.09716487620065237,20.03261604309082,0.8039880915641687,5
cafeteria,10.0,10.0,0.6288524627685547,0.011208736823985085,0.37114753723144533,0.011208736823985085,0.2210923701524734,0.013406727627768658,0.5739189505577087,0.02071258802632714,56.85279541015625,0.11376706666077971,20.03261604309082,0.8039880915641687,5
clean,,inf,0.6461929202079773,0.01095597380974863,0.3538070797920227,0.010955973809748628,0.2810210108757019,0.014035300814550306,0.5619118213653564,0.020213738555347034,57.338304138183595,0.07982862135353169,20.03261604309082,0.8039880915641687,5
metro,-10.0,-10.0,0.4775834262371063,0.011839705515611297,0.5224165737628936,0.01183970551561132,0.11593061387538905,0.0065589223261084476,0.6070823788642883,0.02056698520445041,51.541680908203126,0.13378671588915206,20.03261604309082,0.8039880915641687,5
metro,-5.0,-5.0,0.5704631805419922,0.008160426614083203,0.4295368194580078,0.008160426614083187,0.1624460935592651,0.008383021164379034,0.5906872749328613,0.020845455009044757,55.208580017089844,0.20537953894090583,20.03261604309082,0.8039880915641687,5
metro,0.0,0.0,0.6149372100830078,0.009702890805739342,0.38506278991699217,0.009702890805739328,0.19460207521915432,0.010451999050627018,0.5809436559677124,0.02051933053157733,57.44395141601562,0.15782084841938288,20.03261604309082,0.8039880915641687,5
metro,5.0,5.0,0.6273624300956726,0.010336961777887984,0.3726375699043274,0.010336961777887984,0.2109941720962524,0.012175589188970538,0.576616895198822,0.020725716033789594,57.783200073242185,0.07847998969542871,20.03261604309082,0.8039880915641687,5
metro,10.0,10.0,0.6303342819213867,0.011125445064903176,0.36966571807861326,0.011125445064903164,0.22377066314220423,0.013477940244330414,0.5738309860229492,0.0211967834988764,57.486061096191406,0.07622170843222648,20.03261604309082,0.8039880915641687,5
office,-10.0,-10.0,0.5712713718414306,0.007182328161713516,0.4287286281585693,0.007182328161713521,0.14723443090915675,0.00716991090699496,0.5950850963592529,0.021351135689821707,56.13456726074219,0.15491698316923264,20.03261604309082,0.8039880915641687,5
office,-5.0,-5.0,0.6108948230743408,0.008165935149169225,0.38910517692565916,0.008165935149169225,0.18048055171966548,0.009523945018523654,0.5843358278274536,0.020809750596672952,57.72935791015625,0.1572442707553961,20.03261604309082,0.8039880915641687,5
office,0.0,0.0,0.627365255355835,0.009475043259625372,0.372634744644165,0.009475043259625357,0.202595779299736,0.010893254660436877,0.5778146266937256,0.020399452205190793,57.84427337646484,0.042834747961219305,20.03261604309082,0.8039880915641687,5
office,5.0,5.0,0.6324034452438354,0.010043046826594132,0.36759655475616454,0.01004304682659413,0.21723977029323574,0.012005909579173892,0.5742207050323487,0.020503743483359604,57.47461853027344,0.074367442799965,20.03261604309082,0.8039880915641687,5
office,10.0,10.0,0.6334864974021912,0.011177450206619649,0.36651350259780885,0.011177450206619637,0.22789290249347682,0.013415883819224032,0.5721226096153259,0.020812563039840457,57.18595581054687,0.09830406635774448,20.03261604309082,0.8039880915641687,5
park,-10.0,-10.0,0.5056532561779022,0.006747606180921926,0.49434674382209776,0.006747606180921906,0.1367338269948959,0.008340702283734545,0.598609209060669,0.020519077200217624,49.951341247558595,0.18958688975539298,20.03261604309082,0.8039880915641687,5
park,-5.0,-5.0,0.5836267352104187,0.008570212991281955,0.4163732647895813,0.00857021299128193,0.17800875306129452,0.009217884453545547,0.5854292631149292,0.020141482532923263,54.89173965454101,0.17385684064828916,20.03261604309082,0.8039880915641687,5
park,0.0,0.0,0.6179309606552124,0.008673446521208918,0.3820690393447876,0.008673446521208942,0.20240247249603266,0.010451679961764495,0.5785583972930908,0.02012716370551468,57.28734359741211,0.14229029967378837,20.03261604309082,0.8039880915641687,5
park,5.0,5.0,0.6307029008865357,0.010064545443075813,0.36929709911346437,0.010064545443075805,0.218318635225296,0.012002784389495183,0.5741849541664124,0.02031038086388869,57.729827880859375,0.13944423367785028,20.03261604309082,0.8039880915641687,5
park,10.0,10.0,0.6337568998336792,0.010701283647978519,0.3662431001663208,0.010701283647978534,0.22793135941028594,0.0127964408908612,0.5718417882919311,0.02036989058539541,57.295962524414065,0.08631182190544816,20.03261604309082,0.8039880915641687,5
traffic,-10.0,-10.0,0.5563531637191772,0.00913250015135203,0.44364683628082274,0.009132500151352035,0.1437929570674896,0.008309765438599842,0.5964768648147583,0.021072333696126953,55.83764114379883,0.10463609641366067,20.03261604309082,0.8039880915641687,5
traffic,-5.0,-5.0,0.6104872345924377,0.009105294562224447,0.38951276540756224,0.00910529456222444,0.18687044680118556,0.009853365146830394,0.5830536723136902,0.02060872341260316,58.074259185791014,0.15983669011279547,20.03261604309082,0.8039880915641687,5
traffic,0.0,0.0,0.6290210604667663,0.010094841646394365,0.37097893953323363,0.01009484164639436,0.20996787250041962,0.011730022256377294,0.5765406608581543,0.020432878852756485,58.3008529663086,0.10030607639997956,20.03261604309082,0.8039880915641687,5
traffic,5.0,5.0,0.6343798398971557,0.010289716821478815,0.36562016010284426,0.010289716821478829,0.22356690466403956,0.012559027645709079,0.5731552481651306,0.020651727933049643,57.79919204711914,0.10759085610115678,20.03261604309082,0.8039880915641687,5
traffic,10.0,10.0,0.6349986076354981,0.010802380396744034,0.36500139236450196,0.01080238039674401,0.2334069818258285,0.012455121723332413,0.571078073978424,0.020469881787920446,57.3249008178711,0.025059996492580894,20.03261604309082,0.8039880915641687,5
