noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_mdcf_mean,sg_mdcf_std,cg_far_mean,n_folds
cafeteria,-10.0,0.37653231620788574,0.008370009508673693,0.9628000020980835,0.020336532597022044,0.3087999999523163,5
cafeteria,-5.0,0.10683434382081032,0.010886372014342673,0.5038000166416168,0.07819016576578756,0.05560000091791153,5
cafeteria,0.0,0.012663636449724435,0.0020536013544944108,0.0816000021994114,0.03241026187395387,0.003800000064074993,5
cafeteria,5.0,0.0059297980275005106,0.0013484169296774208,0.05030000023543835,0.0305299035305335,0.0006000000284984708,5
cafeteria,10.0,0.0028141414048150184,0.0004494722903690311,0.020200000051409005,0.0163615400877963,0.0004000000189989805,5
clean,,0.0015075757575687021,0.0009401386351250681,0.008400000107940286,0.013016336104045435,0.00020000000949949026,5
metro,-10.0,0.25879394114017484,0.012234217294165057,0.8125000238418579,0.03309457553667731,0.15830000042915343,5
metro,-5.0,0.0783414140343666,0.0026962799079261915,0.3129000037908554,0.07567644843420493,0.03190000057220459,5
metro,0.0,0.01748787872493267,0.0016438026047227985,0.0917999990284443,0.033868497482119196,0.004799999925307929,5
metro,5.0,0.005025252583436668,0.0021614428270493088,0.04200000073760748,0.02554163477532188,0.0005000000121071935,5
metro,10.0,0.0026131313061341643,0.0007453654301831874,0.01089999983087182,0.007536577092182225,0.00020000000949949026,5
office,-10.0,0.03964797966182232,0.009465634093686507,0.2556000083684921,0.04632412724684245,0.01510000005364418,5
office,-5.0,0.012161111086606979,0.0021730950019110155,0.08700000196695327,0.01691892645588538,0.0037999999593012037,5
office,0.0,0.005125757586210966,0.0009666265878915943,0.03619999997317791,0.020351904511076584,0.0011000000289641322,5
office,5.0,0.0038191919913515447,0.000912882460693527,0.01719999983906746,0.012352125146254975,0.0004000000189989805,5
office,10.0,0.002311616239603609,0.0011009777104597205,0.019000000203959644,0.020676073248739307,0.0003000000142492354,5
park,-10.0,0.15512575507164,0.006603954155666165,0.7402000069618225,0.060322678101885005,0.09330000132322311,5
park,-5.0,0.04246212095022202,0.005504888266692179,0.28080000579357145,0.03641188018003232,0.015300000086426735,5
park,0.0,0.013166161812841892,0.002497505174525574,0.10330000072717667,0.021727286272637703,0.0024000000208616256,5
park,5.0,0.0062313131522387264,0.0014034766596105867,0.04660000056028366,0.015159155965387323,0.0008000000263564289,5
park,10.0,0.0037186868488788606,0.0017262308822139363,0.017100000102072955,0.013754090764184823,0.000900000031106174,5
traffic,-10.0,0.08115555495023727,0.009454703476088634,0.47319999933242796,0.03332529774480901,0.027800000458955764,5
traffic,-5.0,0.01990000018849969,0.004091802346642259,0.11529999822378159,0.04174415954252449,0.00480000008828938,5
traffic,0.0,0.00743737374432385,0.001604936849641599,0.046900000795722006,0.020698429941764546,0.0014999999897554518,5
traffic,5.0,0.004422222170978785,0.0011997625581191905,0.024999999813735484,0.022438805666755227,0.00040000000735744833,5
traffic,10.0,0.0032161615905351936,0.0017624241559841961,0.014800000004470348,0.00892748555721505,0.00020000000949949026,5
