condition,noise_type,snr_db,preregistered,real_mean,shuf_mean,t_stat,p_one_tailed,reject_h0,n_folds
cafeteria_-10dB,cafeteria,-10,True,0.018894949369132517,0.37653231620788574,-75.91578857686265,9.021746405631469e-08,True,5
cafeteria_-5dB,cafeteria,-5,True,0.009748989855870605,0.10683434382081032,-24.995578830753686,7.604112004675764e-06,True,5
metro_-10dB,metro,-10,True,0.013769191969186068,0.25879394114017484,-45.13535483077206,7.20499912787614e-07,True,5
metro_-5dB,metro,-5,True,0.008643434336408972,0.0783414140343666,-86.18614187993974,5.43227586749852e-08,True,5
office_-10dB,office,-10,True,0.004924747464247048,0.03964797966182232,-11.141857326622553,0.00018463792491363825,True,5
office_-5dB,office,-5,True,0.002814141393173486,0.012161111086606979,-13.638180762745797,8.3692695458013e-05,True,5
park_-10dB,park,-10,True,0.011658585956320166,0.15512575507164,-36.58356234401621,1.6665450340949295e-06,True,5
park_-5dB,park,-5,True,0.006733838398940861,0.04246212095022202,-17.06394291627475,3.458797851767656e-05,True,5
traffic_-10dB,traffic,-10,True,0.008944949600845575,0.08115555495023727,-24.003169513227288,8.933842640951633e-06,True,5
traffic_-5dB,traffic,-5,True,0.0038191919506061823,0.01990000018849969,-8.318004032729355,0.0005705790757268709,True,5
clean,clean,,False,0.000603030330967158,0.0015075757575687021,-4.810702221750907,0.004290459775748344,True,5
cafeteria_0dB,cafeteria,0,False,0.0030151514569297434,0.012663636449724435,-9.797959237125044,0.0003040924403125903,True,5
cafeteria_5dB,cafeteria,5,False,0.001407070696586743,0.0059297980275005106,-12.727920308603593,0.00010975576884533348,True,5
cafeteria_10dB,cafeteria,10,False,0.0007035353861283511,0.0028141414048150184,-11.224972160321816,0.00017936763018872634,True,5
metro_0dB,metro,0,False,0.0026131313818041233,0.01748787872493267,-17.81710687004172,2.915456939264101e-05,True,5
metro_5dB,metro,5,False,0.0016080808185506613,0.005025252583436668,-7.013664567339547,0.001088082557815363,True,5
metro_10dB,metro,10,False,0.0008040404412895441,0.0026131313061341643,-8.9999999819015,0.00042191626206108127,True,5
office_0dB,office,0,False,0.0015075757924932986,0.005125757586210966,-6.465790641438398,0.0014735653161804078,True,5
office_5dB,office,5,False,0.0010050505225080997,0.0038191919913515447,-6.423641163757371,0.0015097183117603428,True,5
office_10dB,office,10,False,0.0008040404121857136,0.002311616239603609,-9.486834354083602,0.0003444544900654345,True,5
park_0dB,park,0,False,0.0033166666282340882,0.013166161812841892,-9.38669771603656,0.00035884277679017765,True,5
park_5dB,park,5,False,0.0014070707256905735,0.0062313131522387264,-8.552359490593664,0.0005130916495313604,True,5
park_10dB,park,10,False,0.0010050505225080997,0.0037186868488788606,-3.762358288144046,0.00986726880625591,True,5
traffic_0dB,traffic,0,False,0.0020101010275539012,0.00743737374432385,-9.329779332308295,0.00036735396919342653,True,5
traffic_5dB,traffic,5,False,0.0009045454673469067,0.004422222170978785,-9.899495329752789,0.00029220526275317043,True,5
traffic_10dB,traffic,10,False,0.0006030303018633276,0.0032161615905351936,-4.6697379743309195,0.0047600876950339354,True,5
