noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_mdcf_mean,sg_mdcf_std,cg_far_mean,n_folds
cafeteria,-10.0,0.018894949369132517,0.0035640339616720457,0.18780000805854796,0.0702696706843958,0.00520000015385449,5
cafeteria,-5.0,0.009748989855870605,0.00390226306671633,0.050200000032782556,0.029480076815480594,0.0029000000096857546,5
cafeteria,0.0,0.0030151514569297434,0.0016666876646663582,0.021099999966099858,0.02457997257027193,0.0012000000337138773,5
cafeteria,5.0,0.001407070696586743,0.001145933867820018,0.005200000095646829,0.005322123747174791,0.0005000000237487257,5
cafeteria,10.0,0.0007035353861283511,0.000762117314784857,0.0024000000557862222,0.0028151377366566316,0.00020000000949949026,5
clean,,0.000603030330967158,0.0008989445416911746,0.0009000000078231096,0.0013416407981618771,0.0,5
metro,-10.0,0.013769191969186068,0.0031099778908513023,0.1321000024676323,0.05602834397565316,0.0030999999959021806,5
metro,-5.0,0.008643434336408972,0.0031663080212573458,0.059800001606345174,0.048518813892150896,0.001700000057462603,5
metro,0.0,0.0026131313818041233,0.0013944510217838936,0.026299999793991446,0.01815075726918199,0.0004000000189989805,5
metro,5.0,0.0016080808185506613,0.0014390133454433643,0.005300000112038105,0.0050074944602710265,0.0004000000189989805,5
metro,10.0,0.0008040404412895441,0.0007621173147848571,0.00210000000661239,0.0020432816558472017,0.00010000000474974513,5
office,-10.0,0.004924747464247048,0.002644830070472742,0.047400002181529996,0.046034501807336176,0.0010000000125728547,5
office,-5.0,0.002814141393173486,0.0018326675624935052,0.012399999983608722,0.009600781188898575,0.0004000000189989805,5
office,0.0,0.0015075757924932986,0.0015488869235120697,0.006100000021979213,0.005504543619311858,0.0005000000121071935,5
office,5.0,0.0010050505225080997,0.0009401386467925571,0.004099999973550439,0.004204164557234229,0.00020000000949949026,5
office,10.0,0.0008040404121857136,0.0009796020398175416,0.001999999978579581,0.003122498919153154,0.0,5
park,-10.0,0.011658585956320166,0.003699623470321534,0.09490000158548355,0.06099221312506607,0.002500000107102096,5
park,-5.0,0.006733838398940861,0.0034378017755461376,0.04440000113099814,0.050330658130737435,0.0019000000320374966,5
park,0.0,0.0033166666282340882,0.002120156290192873,0.008999999705702066,0.007202429778374533,0.0005000000121071935,5
park,5.0,0.0014070707256905735,0.000898944494509522,0.002700000035110861,0.00192353838859171,0.0004000000189989805,5
park,10.0,0.0010050505225080997,0.0009401386467925571,0.0026999999769032,0.002885307537496478,0.00010000000474974513,5
traffic,-10.0,0.008944949600845575,0.004372258580861004,0.09699999913573265,0.09358218392044684,0.001400000019930303,5
traffic,-5.0,0.0038191919506061823,0.0023730687967850796,0.027000000001862645,0.036798436547353985,0.0003000000142492354,5
traffic,0.0,0.0020101010275539012,0.001230930452138452,0.007200000016018749,0.00600624683139827,0.0004000000189989805,5
traffic,5.0,0.0009045454673469067,0.0008989444766130314,0.0014000000664964318,0.0014747881904239395,0.0,5
traffic,10.0,0.0006030303018633276,0.0010894487731558345,0.0015000000479631127,0.0030822070959475533,0.0,5
