noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10.0,0.23412020504474634,0.005636353377153773,0.9337000250816345,0.021617699447552437,0.056165413558483056,0.002299884006387813,0.16220000088214873,0.014241662224078131,0.21614045351743694,0.005806792039888338,0.9326748967170715,0.02063200803631659,0.051222883164882604,0.001615957131278006,5980
cafeteria,-5.0,0.10130656585097311,0.00762614021624719,0.5561000287532807,0.07252706985360607,0.16311455368995662,0.005316263366345241,0.02609999999403948,0.005140525373838567,0.08360904529690738,0.006827735638720991,0.5171231150627136,0.06187087288901227,0.14916150569915768,0.0058407830646878475,5980
cafeteria,0.0,0.029195454530417858,0.0024515814749693507,0.22850000262260434,0.07145191036041249,0.2919320046901703,0.003054377666490315,0.0,0.0,0.02047613039612766,0.002006048531376905,0.2011241227388382,0.05277122678277259,0.27568420171737673,0.0033938404946122136,5980
cafeteria,5.0,0.01929696965962644,0.004213427589155242,0.1348000034689903,0.03977844675560171,0.3666500568389892,0.0042184129069621655,0.0,0.0,0.013333416916429941,0.0027132737452521516,0.11567437350749968,0.026589846027511414,0.34952486157417295,0.009208764863507503,5980
cafeteria,10.0,0.01015101019293066,0.001790852116582713,0.05050000138580794,0.027552225282357058,0.4157320737838745,0.006625723999367232,0.0,0.0,0.00759396986104542,0.002155227108248369,0.0454748753458261,0.01680385060272468,0.40117201805114744,0.008420662762463888,5980
clean,,0.00180909095797684,0.0010420585615577686,0.00409999999683348,0.003646916392485199,0.511667537689209,0.0037709591409380125,0.0,0.0,0.00157889449619682,0.0009190483929380847,0.00409999999683348,0.003646916392485199,0.5045932829380035,0.0061157875804544485,5980
metro,-10.0,0.19557777792215342,0.016792917298079187,0.8302000164985657,0.04688498138893449,0.11145865470170971,0.002634033999597234,0.0851999998092651,0.0069155619543852685,0.17022562772035593,0.014943174299069644,0.7983738660812378,0.041596061687163614,0.10034246891736982,0.0033540585592193514,5980
metro,-5.0,0.09226111024618146,0.008021537654630498,0.45540000796318053,0.07815001822286904,0.20979952514171596,0.005692300322679129,0.00670000007376072,0.0020796633385638573,0.07350879535078998,0.006764830890783637,0.4149236261844635,0.04492961325951643,0.18631394803524015,0.006261181407323377,5980
metro,0.0,0.03773838449269526,0.0060678752182226,0.22419999837875362,0.08492393076330737,0.31870520710945127,0.0063213300167911345,0.00040000000735744003,0.0006519202469310261,0.028972361795604203,0.003509153907447836,0.19794924557209012,0.05945085931647053,0.2978879749774933,0.006792449273899568,5980
metro,5.0,0.015377272851765138,0.003268346344750487,0.10320000201463694,0.019639247791073552,0.3949673354625701,0.004780277935909782,0.0,0.0,0.01238090442493552,0.0029085811634793762,0.08939949721097942,0.019779388017469427,0.378470778465271,0.004917634985042289,5980
metro,10.0,0.00914595960639414,0.002053601297519758,0.03370000086724754,0.007164147075644811,0.43934573531150817,0.0040843159394382865,0.0,0.0,0.007092713611200401,0.001438668873959921,0.03370000086724754,0.007164147075644811,0.4262882173061371,0.004972941712458448,5980
office,-10.0,0.049798990041017475,0.00782230207841507,0.349000009894371,0.11470615205861458,0.20689108371734616,0.005030339279581903,0.00610000011511142,0.0035601966253007954,0.037794472463428916,0.00636004160705672,0.32174874246120455,0.08322742512093968,0.19300819337368008,0.004932451612590393,5980
office,-5.0,0.02341717146337028,0.0031042955940855186,0.22200000286102295,0.045497263397068666,0.27337470650672907,0.007285298458439912,0.00060000002849846,0.0008215838752808879,0.01721809050068252,0.0024930192458083784,0.18962362110614772,0.034981282111981635,0.2595212042331695,0.006083950708315979,5980
office,0.0,0.01547777801752086,0.002497505066775055,0.11570000052452083,0.03735404494948038,0.3363219738006592,0.00818040391083035,0.0,0.0,0.01160401999950402,0.002205623624444413,0.10912462323904033,0.028459021826070185,0.31739466190338134,0.010058772527217005,5980
office,5.0,0.01236212113872166,0.0025025556823436448,0.07490000165998931,0.047769498140871405,0.38837563395500185,0.0035047758804135428,0.0,0.0,0.00922311567701396,0.0021733954125722076,0.063824625685811,0.034234603814897936,0.3721936821937561,0.005993702438126504,5980
office,10.0,0.0080404040869325,0.0026827507349431686,0.03660000190138814,0.027817264845713664,0.43291897773742677,0.008855299686406415,0.0,0.0,0.00596482413820918,0.0019181917614436931,0.031574875116348225,0.0181578559101894,0.4219834268093109,0.00927402381072145,5980
park,-10.0,0.1278393946588039,0.008813976999980086,0.7876000046730042,0.0347893671340802,0.15236311256885526,0.0015390376355074035,0.06630000025033947,0.008159351019895423,0.11421055197715754,0.007529167784297136,0.7292718410491943,0.032590554565138714,0.14429936707019803,0.0016511933961417201,5980
park,-5.0,0.05984949506819241,0.005557394657803677,0.5524999976158143,0.11319839807359938,0.23192870914936062,0.005366721906860065,0.0038000001106410996,0.0016807736575508323,0.044987437874078724,0.00453906859065521,0.46952160596847536,0.08879708612485762,0.21370673477649685,0.0038562057528010547,5980
park,0.0,0.029697980359196602,0.0027889025061014878,0.3148000061511993,0.028400260525504022,0.3098132312297821,0.008158634481628487,0.0,0.0,0.021378391794860303,0.0028748815687975643,0.2794728636741638,0.016281228123385148,0.29260343313217163,0.007001006126260023,5980
