noise_type,snr_db,sg_eer_mean,sg_eer_std,sg_min_dcf_mean,sg_min_dcf_std,sg_threshold_mean,sg_threshold_std,cg_far_mean,cg_far_std,overall_eer_mean,overall_eer_std,overall_min_dcf_mean,overall_min_dcf_std,overall_threshold_mean,overall_threshold_std,n_pairs
cafeteria,-10,0.397085353732109,0.007731370940256277,0.9845999717712403,0.009933475294963778,0.01141250208020208,0.0025988076214539164,0.3746999979019165,0.007815041635216657,0.3913783937692642,0.007421296051346837,0.9860999584197998,0.007039152355322575,0.01013494320213792,0.002502558853853783,5980
cafeteria,-5,0.1673368692398071,0.010513797771442084,0.776800000667572,0.06620289463258337,0.1355398148298263,0.002468969845229295,0.07900000065565105,0.003968626561085103,0.15057638138532636,0.009374112363352062,0.719648253917694,0.06372876392077234,0.12423634529113765,0.003646946748352864,5980
cafeteria,0,0.055427273362874965,0.003665335239904743,0.4085000157356262,0.06825047689706523,0.2761326611042022,0.0036487521232686114,0.00110000004060564,0.0006519202625561781,0.04040100499987598,0.0030227124716001785,0.37594873905181886,0.06550282701521919,0.2541382908821106,0.004347293534205422,5980
cafeteria,5,0.03512525260448452,0.005613906763492475,0.2529000043869018,0.05404789789505304,0.3567176580429077,0.005683767529242105,0.0,0.0,0.02669170852750536,0.0048752046872616,0.21974874734878536,0.04062717074082457,0.3363435328006744,0.006137369600633947,5980
cafeteria,10,0.02100555542856452,0.0028069532692011835,0.10770000219345091,0.027396626369701395,0.41340969800949096,0.006099379773912703,0.0,0.0,0.015538944769650639,0.0021559847220241207,0.10267487466335294,0.017362532213995988,0.39621354341506954,0.005920512860999124,5980
metro,-10,0.3131656557321548,0.013887827059690466,0.9332000017166138,0.028106033468831657,0.07506575137376782,0.002098506252345052,0.21179999709129332,0.014350956608209278,0.2916540175676346,0.01355805929732035,0.9246246576309204,0.01963535977819432,0.06652087122201913,0.002180587573668298,5980
metro,-5,0.140753535926342,0.0068957741380500795,0.6741000056266785,0.05707385500421027,0.190485480427742,0.005163687164536365,0.0221000004559755,0.0041140002662857465,0.11603994891047471,0.008422170764995369,0.642398476600647,0.05558564224423376,0.16666445434093471,0.0057974855168166995,5980
metro,0,0.0623621210455894,0.006342577657718811,0.37400000095367425,0.06023807278871656,0.3073002755641937,0.003514884637460974,0.00080000003799794,0.0008366600662732873,0.04852135665714738,0.004448510086629535,0.34327388405799864,0.045724355605654424,0.2840432047843933,0.004638658513574957,5980
metro,5,0.03200959656387562,0.0021141925796288484,0.1854999959468841,0.037371444850425845,0.3944835543632507,0.006371105194923961,0.0,0.0,0.02303266357630488,0.0022700909341864897,0.16677436828613276,0.02303841161622136,0.3745699644088745,0.006147071092889731,5980
metro,10,0.01799040418118232,0.001790851927114576,0.0716000005602836,0.009971209369776166,0.44528515338897706,0.006471370655999894,0.00010000000474974,0.00022360680837072043,0.013759296480566199,0.0015382802726610105,0.0716000005602836,0.009971209369776166,0.4279010951519012,0.0069099363817612305,5980
